"VersionEffective","LOINC_NUM","Property","ValuePrior","ValueCurrent","ChangeReason"
"2.74","66423-5","STATUS","TRIAL","ACTIVE",""
"2.74","81729-6","STATUS","DEPRECATED","ACTIVE",""
"2.74","89371-9","STATUS","TRIAL","ACTIVE",""
